id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
32003,ZUNC,small_airport,Nanchong Airport,30.79545,106.1626,,AS,CN,CN-51,Nanchong,1,ZUNC,NAO,,,http://en.wikipedia.org/wiki/Nanchong_Airport,,450,2011-10-06T07:54:25+00:00
32041,ZHNY,small_airport,Nanyang Jiangying Airport,32.980801,112.614998,840,AS,CN,CN-41,Nanyang,1,ZHNY,NNY,,,https://en.wikipedia.org/wiki/Nanyang_Jiangying_Airport,,450,2016-05-31T08:44:02+00:00
32417,ZPSM,small_airport,Pu'er Simao Airport,22.793301,100.959,,AS,CN,CN-53,Pu'er,1,ZPSM,SYM,,,https://en.wikipedia.org/wiki/Pu%27er_Simao_Airport,,450,2016-05-31T09:12:10+00:00
31685,ZLQY,medium_airport,Qingyang Airport,35.799702,107.602997,,AS,CN,CN-62,Qingyang,1,ZLQY,IQN,,,https://en.wikipedia.org/wiki/Qingyang_Airport,Dingxi Air Base,450,2016-05-31T09:04:09+00:00
31714,ZSJU,medium_airport,Quzhou Airport,28.965799,118.899002,,AS,CN,CN-33,Quzhou,1,ZSJU,JUZ,,,https://en.wikipedia.org/wiki/Quzhou_Airport,,450,2016-05-31T09:14:58+00:00
35315,ZBUL,small_airport,Ulanhot Airport,46.195333,122.008333,,AS,CN,CN-15,Ulanhot,1,ZBUL,HLH,,,http://en.wikipedia.org/wiki/Ulanhot_Airport,,450,2011-10-05T18:23:03+00:00
32688,ZUWX,small_airport,Wanxian Airport,30.8017,108.433,,AS,CN,CN-50,Wanxian,1,ZUWX,WXN,,,http://en.wikipedia.org/wiki/Wanzhou_Airport,,450,2011-10-06T07:38:36+00:00
32646,ZSWF,medium_airport,Weifang Airport,36.646702,119.119003,,AS,CN,CN-37,Weifang,1,ZSWF,WEF,,,https://en.wikipedia.org/wiki/Weifang_Airport,,450,2016-05-31T09:17:53+00:00
32683,ZSWY,medium_airport,Nanping Wuyishan Airport,27.7019,118.000999,614,AS,CN,CN-35,Wuyishan,1,ZSWY,WUS,,,https://en.wikipedia.org/wiki/Wuyishan_Airport,,450,2016-05-31T09:18:35+00:00
31009,ZLYA,small_airport,Yan'an Ershilipu Airport,36.636902,109.554001,3100,AS,CN,CN-61,Yan'an,1,ZLYA,ENY,,,https://en.wikipedia.org/wiki/Yan%27an_Ershilipu_Airport,,450,2016-05-31T09:06:44+00:00
32725,ZWYN,small_airport,Yining Airport,43.955799,81.330299,,AS,CN,CN-65,Yining,1,ZWYN,YIN,,,https://en.wikipedia.org/wiki/Yining_Airport,,450,2016-05-31T08:27:57+00:00
32563,ZLYL,small_airport,Yulin Yuyang Airport,38.35971,109.590927,,AS,CN,CN-61,Yulin,1,ZLYL,UYN,,http://www.cwag-yl.com/,https://en.wikipedia.org/wiki/Yulin_Yuyang_Airport,,450,2019-05-04T09:00:44+00:00
32740,ZPZT,small_airport,Zhaotong Airport,27.32559967,103.7549973,,AS,CN,CN-53,Zhaotong,1,ZPZT,ZAT,,,http://en.wikipedia.org/wiki/Zhaotong_Airport,,450,2008-07-14T08:45:12+00:00
31624,ZSZS,small_airport,Zhoushan Airport,29.93420029,122.3619995,3,AS,CN,CN-33,Zhoushan,1,ZSZS,HSN,,,http://en.wikipedia.org/wiki/Zhoushan_Putuoshan_Airport,,450,2012-01-15T13:28:21+00:00
31699,ZLJQ,medium_airport,Jiayuguan Airport,39.856899,98.3414,5112,AS,CN,CN-62,Jiayuguan,1,ZLJQ,JGN,,,http://en.wikipedia.org/wiki/Jiayuguan_Airport,,250,2016-06-02T09:01:07+00:00
30650,ZSAQ,medium_airport,Anqing Tianzhushan Airport,30.582199,117.050003,,AS,CN,CN-34,Anqing,1,ZSAQ,AQG,,,https://en.wikipedia.org/wiki/Anqing_Tianzhushan_Airport,Anqing Air Base,50,2016-05-31T09:12:51+00:00
30646,ZYAS,medium_airport,Anshan Air Base,41.105301,122.853996,,AS,CN,CN-21,Anshan,1,ZYAS,AOG,,,https://en.wikipedia.org/wiki/Anshan_Teng%27ao_Airport,,50,2016-05-31T08:28:51+00:00
30827,ZYCY,medium_airport,Chaoyang Airport,41.538101,120.434998,568,AS,CN,CN-21,Chaoyang,1,ZYCY,CHG,,,https://en.wikipedia.org/wiki/Chaoyang_Airport,,50,2016-05-31T08:29:46+00:00
